name,link
Theatre 2 by Burdubai,https://www.foodpanda.com.mm/restaurant/p3fa/theatre-2-by-burdubai
Ko Kyaw Gyi,https://www.foodpanda.com.mm/restaurant/e8py/ko-kyaw-gyi
7colours (Cold Drink & Pizza),https://www.foodpanda.com.mm/restaurant/b3oy/7colours-cold-drink-and-pizza
သုည-အသုပ်,https://www.foodpanda.com.mm/restaurant/n0em/sunny-asup
Food Studio,https://www.foodpanda.com.mm/restaurant/t1va/food-studio
လင်းလင်း (ထမင်းကြော်),https://www.foodpanda.com.mm/restaurant/d1uy/lng-lng-thmng-k-eaa
Cremo Ice-Cream,https://www.foodpanda.com.mm/restaurant/sfqh/cremo-ice-cream
ရွှေကြက်ဖ (တရုတ်အစားအစာ),https://www.foodpanda.com.mm/restaurant/ybh8/r-ek-k-ph-ttrutt-acaa-acaa
စနဲ,https://www.foodpanda.com.mm/restaurant/jd5k/cnai
J's Drink House,https://www.foodpanda.com.mm/restaurant/pewx/js-drink-house
S-O Choice အထောင်း.အသုပ်,https://www.foodpanda.com.mm/restaurant/r51e/s-o-choice-atheaang-asup
Aung Aung Tea Center,https://www.foodpanda.com.mm/restaurant/m5rd/aung-aung-tea-center
Tako Queen &  Pota Queen  (ဂျပန်ရေဘဝဲလုံးကြော်နှင့်အာလူးချောင်းကြော်အရသာစုံ),https://www.foodpanda.com.mm/restaurant/fffl/tako-queen-and-pota-queen-g-pn-rebhwailun-k-eaa-n-ng-aaaluu-kh-eaang-k-eaa-arsaacun
ရွှေဘိုသူ မန္တလေးမုန့်တီဆိုင်,https://www.foodpanda.com.mm/restaurant/q3az/r-ebhiusuu-mnttle-mun-ttiichiung
အောင်စားဖွယ်စုံ,https://www.foodpanda.com.mm/restaurant/le0y/aeaang-caa-ph-y-cun-le0y
Seafood Paragon,https://www.foodpanda.com.mm/restaurant/u0ox/seafood-paragon
PROK FAN,https://www.foodpanda.com.mm/restaurant/lpz9/prok-fan
အောင်ချမ်းသာ (စားဖွယ်စုံ),https://www.foodpanda.com.mm/restaurant/wmc2/aeaang-kh-m-saa-caa-ph-y-cun
Umami,https://www.foodpanda.com.mm/restaurant/t7pt/umami
Sun Moon Star(Halal food),https://www.foodpanda.com.mm/restaurant/nshj/sun-moon-star-halal-food
Spicy Paradise,https://www.foodpanda.com.mm/restaurant/g8in/spicy-paradise
